,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
199,EEFT,"Euronet Worldwide, Inc.",4.94B,-0.95%,489737,3.69B
200,ALIT,"Alight, Inc.",4.93B,-0.91%,5319763,3.41B
201,NVMI,Nova Ltd.,4.90B,-0.42%,151098,517.92M
202,CRUS,"Cirrus Logic, Inc.",4.85B,-1.36%,770099,1.79B
203,GBTG,"Global Business Travel Group, Inc.",4.79B,1.63%,415136,2.29B
204,ASGN,ASGN Incorporated,4.69B,1.48%,245319,4.45B
205,CLVT,Clarivate Plc,4.68B,0.57%,2571856,2.63B
206,VERX,"Vertex, Inc.",4.57B,-0.30%,594068,572.39M
207,WK,Workiva Inc.,4.56B,2.10%,665966,630.04M
208,BMI,"Badger Meter, Inc.",4.52B,1.09%,128508,703.59M
209,CWAN,"Clearwater Analytics Holdings, Inc.",4.47B,1.34%,1326214,368.17M
210,PAGS,PagSeguro Digital Ltd.,4.47B,-0.57%,3695107,3.27B
211,FROG,JFrog Ltd.,4.47B,-0.57%,941973,349.89M
212,SQSP,"Squarespace, Inc.",4.42B,1.09%,1815911,1.01B
213,CVLT,"Commvault Systems, Inc.",4.36B,-1.94%,810814,819.43M
214,FIVN,"Five9, Inc.",4.33B,1.03%,2803148,910.49M
215,AVT,"Avnet, Inc.",4.29B,-1.07%,1168137,25.61B
216,SLAB,Silicon Laboratories Inc.,4.28B,-2.35%,421329,782.26M
217,BOX,"Box, Inc.",4.26B,-0.37%,4897172,1.04B
218,LPL,"LG Display Co., Ltd.",4.18B,-0.70%,448422,16.47B
219,BL,"BlackLine, Inc.",4.10B,-1.32%,9789694,590.00M
220,CNXC,Concentrix Corporation,4.07B,-2.71%,854050,7.11B
221,IPGP,IPG Photonics Corporation,4.02B,0.23%,816448,1.29B
222,ITRI,"Itron, Inc.",3.96B,-0.30%,793068,2.17B
223,POWI,"Power Integrations, Inc.",3.95B,-0.09%,711138,444.54M
224,SYNA,Synaptics Incorporated,3.91B,-1.07%,389250,1.03B
225,BLKB,"Blackbaud, Inc.",3.89B,-2.42%,539504,1.11B
226,SATS,EchoStar Corporation,3.84B,-3.96%,4517761,17.02B
227,RELY,"Remitly Global, Inc.",3.81B,-0.35%,1479180,944.29M
228,DXC,DXC Technology Company,3.76B,0.63%,7856861,13.87B
229,TDC,Teradata Corporation,3.68B,0.50%,1553636,1.83B
230,ALRM,"Alarm.com Holdings, Inc.",3.64B,-1.17%,497174,881.68M
231,CXM,"Sprinklr, Inc.",3.57B,-3.55%,2058960,703.48M
232,AI,"C3.ai, Inc.",3.56B,-0.62%,4619138,296.40M
233,DOCN,"DigitalOcean Holdings, Inc.",3.55B,0.20%,1005316,692.88M
234,BDC,Belden Inc.,3.55B,1.17%,252837,2.51B
235,SEDG,"SolarEdge Technologies, Inc.",3.54B,-4.66%,3970025,2.98B
236,ASAN,"Asana, Inc.",3.53B,-1.60%,2180551,652.50M
237,ACLS,"Axcelis Technologies, Inc.",3.53B,-0.46%,669845,1.13B
238,SANM,Sanmina Corporation,3.52B,-5.58%,1547873,8.45B
239,AYX,"Alteryx, Inc.",3.49B,-,4721620,970.00M
240,AUR,"Aurora Innovation, Inc.",3.45B,-0.44%,12699891,-
241,CLSK,"CleanSpark, Inc.",3.45B,10.04%,43608774,214.38M
242,PWSC,"PowerSchool Holdings, Inc.",3.44B,-0.91%,415308,697.65M
243,TSEM,Tower Semiconductor Ltd.,3.42B,0.13%,336576,1.42B
244,CAMT,Camtek Ltd.,3.42B,0.07%,337673,315.38M
245,PYCR,"Paycor HCM, Inc.",3.39B,1.42%,1127010,604.65M
246,ACIW,"ACI Worldwide, Inc.",3.39B,1.14%,1032017,1.45B
247,FORM,"FormFactor, Inc.",3.36B,-1.41%,946875,663.10M
248,NCNO,"nCino, Inc.",3.36B,-0.90%,779258,462.03M
249,PI,"Impinj, Inc.",3.33B,-1.36%,495962,307.54M
250,WOLF,"Wolfspeed, Inc.",3.27B,0.19%,3930131,870.30M
251,RNG,"RingCentral, Inc.",3.27B,-1.21%,1439014,2.20B
252,CRDO,Credo Technology Group Holding Ltd,3.16B,-1.70%,2761941,164.28M
253,RPD,"Rapid7, Inc.",3.15B,-2.37%,1805087,777.71M
254,FLYW,Flywire Corporation,3.14B,0.51%,1663871,403.09M
255,NVEI,Nuvei Corporation,3.14B,-2.99%,650050,1.19B
256,SPT,"Sprout Social, Inc.",3.12B,0.04%,965699,333.64M
257,LITE,Lumentum Holdings Inc.,3.10B,-1.51%,1418680,1.44B
258,INST,"Instructure Holdings, Inc.",3.08B,2.17%,539143,530.21M
259,MQ,"Marqeta, Inc.",3.05B,-0.34%,5078734,676.17M
260,VSH,"Vishay Intertechnology, Inc.",3.05B,0.14%,1090392,3.40B
261,DIOD,Diodes Incorporated,3.01B,1.08%,561014,1.66B
262,SRAD,Sportradar Group AG,3.01B,-0.10%,206090,884.39M
263,YOU,"Clear Secure, Inc.",2.99B,0.26%,1675429,613.58M
264,RIOT,"Riot Blockchain, Inc.",2.94B,6.13%,25625897,280.68M
265,ENV,"Envestnet, Inc.",2.94B,-0.21%,397335,1.25B
266,PAY,"Paymentus Holdings, Inc.",2.91B,-1.36%,439917,614.49M
267,QTWO,"Q2 Holdings, Inc.",2.88B,-0.53%,511848,624.62M
268,APPN,Appian Corporation,2.68B,-1.63%,896336,545.36M
269,KLIC,"Kulicke and Soffa Industries, Inc.",2.68B,0.32%,646908,737.45M
270,SOUN,"SoundHound AI, Inc.",2.59B,6.45%,124043446,45.87M
271,AVDX,"AvidXchange Holdings, Inc.",2.56B,-0.88%,2335462,380.72M
272,PLXS,Plexus Corp.,2.53B,-3.11%,269164,4.10B
273,ESE,ESCO Technologies Inc.,2.52B,2.23%,146746,968.85M
274,WNS,WNS (Holdings) Limited,2.51B,-2.66%,1053963,1.30B
275,EVTC,"EVERTEC, Inc.",2.46B,0.45%,302195,694.71M
276,INTA,"Intapp, Inc.",2.44B,-0.66%,1751158,392.15M
277,NABL,"N-able, Inc.",2.43B,0.30%,546898,421.88M
278,ODD,Oddity Tech Ltd.,2.41B,-1.27%,3464166,508.69M
279,SIMO,Silicon Motion Technology Corporation,2.38B,0.93%,351573,945.92M
280,CLBT,Cellebrite DI Ltd.,2.34B,-2.70%,928595,325.11M
281,JAMF,Jamf Holding Corp.,2.33B,-3.11%,668622,560.57M
282,PRGS,Progress Software Corporation,2.32B,-0.68%,577565,694.44M
283,SONO,"Sonos, Inc.",2.31B,0.91%,5787978,1.60B
284,ZETA,Zeta Global Holdings Corp.,2.27B,-1.34%,1365830,728.72M
285,TIXT,TELUS International (Cda) Inc.,2.26B,-1.08%,167579,2.71B
286,RAMP,"LiveRamp Holdings, Inc.",2.24B,-2.13%,441905,636.44M
287,OSIS,"OSI Systems, Inc.",2.24B,-0.37%,141789,1.37B
288,ALKT,"Alkami Technology, Inc.",2.24B,-1.41%,449460,264.83M
289,VZIO,VIZIO Holding Corp.,2.21B,0.36%,1267448,1.68B
290,ROG,Rogers Corporation,2.20B,0.21%,305171,908.40M
291,CALX,"Calix, Inc.",2.20B,1.13%,1175085,1.04B
292,VYX,NCR Voyix Corporation,2.20B,-2.22%,2962095,3.83B
293,VSAT,"Viasat, Inc.",2.19B,2.88%,1819718,3.80B
294,VIAV,Viavi Solutions Inc.,2.19B,-1.00%,3398101,1.01B
295,RUM,Rumble Inc.,2.17B,-0.13%,3373324,80.53M
296,PLUS,ePlus inc.,2.15B,-2.25%,1625366,2.16B
297,RUN,Sunrun Inc.,2.14B,4.00%,15824422,2.26B
298,DAVA,Endava plc,2.12B,-0.22%,310535,968.73M
299,PRFT,"Perficient, Inc.",2.11B,-0.23%,391304,906.54M
300,PD,"PagerDuty, Inc.",2.11B,-7.33%,5492739,430.70M
301,SWI,SolarWinds Corporation,2.07B,3.08%,802122,758.74M
302,XRX,Xerox Holdings Corporation,2.06B,-0.96%,4325373,6.89B
303,AGYS,"Agilysys, Inc.",2.05B,1.12%,243478,228.14M
304,AMBA,"Ambarella, Inc.",2.05B,-3.55%,1023692,258.18M
305,SHLS,"Shoals Technologies Group, Inc.",2.05B,2.03%,4005092,488.94M
306,LSPD,Lightspeed Commerce Inc.,2.00B,-1.69%,1041835,863.28M
307,SITM,SiTime Corporation,1.99B,-3.50%,317855,143.99M
308,VRNT,Verint Systems Inc.,1.93B,-1.70%,913348,881.53M
309,UCTT,"Ultra Clean Holdings, Inc.",1.92B,0.16%,592539,1.73B
310,BMBL,Bumble Inc.,1.92B,2.38%,3730974,1.05B
311,IONQ,"IonQ, Inc.",1.92B,1.20%,5671693,22.04M
312,VECO,Veeco Instruments Inc.,1.90B,-0.65%,504039,666.44M
313,UPBD,"Upbound Group, Inc.",1.81B,-,922349,3.99B
